# Arapa Telecomunicaciones Geofeed
201.234.117.0/24,PE,PE-LIM,Villa El Salvador,
209.45.20.0/24,PE,PE-LIM,Villa El Salvador,
2803:a850::/32,PE,PE-LIM,Villa El Salvador,
